ModelID,PatientID,CellLineName,StrippedCellLineName,DepmapModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode
ACH-000069,PT-RgXHAi,Hs 611.T,HS611T,HL,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,HL
ACH-000070,PT-0yrZJC,697,697,BLL,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,BLL
ACH-000071,PT-HqO4KC,Hs 706.T,HS706T,ZFIBBON,Fibroblast,Non-Cancerous,"Fibroblast, Bone",
ACH-000072,PT-yx4h8S,MEG-01,MEG01,CMLBCRABL1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1
ACH-000073,PT-wktVrL,GRANTA-519,GRANTA519,MCL,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,MCL
ACH-000074,PT-FJahu6,KU812,KU812,CMLBCRABL1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1
ACH-000075,PT-59c3mE,U-87 MG,U87MG,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000076,PT-Ugji7b,NCO2,NCO2,CMLBCRABL1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1
ACH-000077,PT-brIUSU,MJ,MJ,MTNN,Lymphoid,Non-Hodgkin Lymphoma,Mature T and NK Neoplasms,MTNN
ACH-000078,PT-Vot01h,MHH-NB-11,MHHNB11,NBL,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-000079,PT-5wqkwI,TE 125.T,TE125T,ZFIBSOF,Fibroblast,Non-Cancerous,"Fibroblast, Soft Tissue",
ACH-000080,PT-c6Ag34,BDCM,BDCM,AMOL,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,AMOL
ACH-000081,PT-OtgTTm,GDM-1,GDM1,AML,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000082,PT-noCCE4,"G-292, clone A141B1",G292CLONEA141B1,OS,Bone,Osteosarcoma,Osteosarcoma,OS
ACH-000083,PT-BMJ8bq,Hs 281.T,HS281T,ZFIBBRE,Fibroblast,Non-Cancerous,"Fibroblast, Breast",
ACH-000084,PT-S6ty7D,MUTZ-3,MUTZ3,AMLGATA2MECOM,Myeloid,Acute Myeloid Leukemia,"AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",AMLGATA2MECOM
ACH-000085,PT-FnO2p8,T3M-4,T3M4,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000086,PT-nZJ0Fu,ACC-MESO-1,ACCMESO1,PLEMESO,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",PLEMESO
ACH-000087,PT-VA04Md,SK-ES-1,SKES1,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-000088,PT-fmS8rl,Hs 172.T,HS172T,ZFIBURT,Fibroblast,Non-Cancerous,"Fibroblast, Urinary Tract",
ACH-000089,PT-0joF2E,NCI-H684,NCIH684,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000090,PT-j0lUB5,PC-3,PC3,PRAD,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,PRAD
ACH-000091,PT-kmyeHR,OV56,OV56,SOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,SOC
ACH-000092,PT-GaubVg,NCI-H2452,NCIH2452,PLBMESO,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Biphasic Type",PLBMESO
ACH-000093,PT-X8PfQy,Panc 05.04,PANC0504,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000094,PT-bW9aaR,HPAF-II,HPAFII,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000095,PT-nsjOrX,D341 Med,D341Med,MBL,CNS/Brain,Embryonal Tumor,Medulloblastoma,MBL
ACH-000096,PT-ABKGjf,G-401,G401,MRT,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,MRT
ACH-000097,PT-k1TO7o,ZR-75-1,ZR751,IDC,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000098,PT-HmIANs,GAMG,GAMG,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000099,PT-JpfhsL,SIMA,SIMA,NBL,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-000100,PT-BN67ox,RH-41,RH41,ARMS,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,ARMS
ACH-000101,PT-6Sunyd,KE-37,KE37,ATLL,Lymphoid,Mature T and NK Neoplasms,Adult T-Cell Leukemia/Lymphoma,ATLL
ACH-000102,PT-CuQsSC,GMS-10,GMS10,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000103,PT-gCHPXX,Caov-4,CAOV4,HGSOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000104,PT-JJAsvr,Loucy,LOUCY,ATLL,Lymphoid,Mature T and NK Neoplasms,Adult T-Cell Leukemia/Lymphoma,ATLL
ACH-000105,PT-MYSpL6,ALL-SIL,ALLSIL,TLL,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,TLL
ACH-000106,PT-JfG7uC,JVM-2,JVM2,MCL,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,MCL
ACH-000107,PT-vjRLEt,Capan-2,CAPAN2,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000108,PT-GEVVKA,KP-3,KP3,PAASC,Pancreas,Adenosquamous Carcinoma of the Pancreas,Adenosquamous Carcinoma of the Pancreas,PAASC
ACH-000109,PT-Zwpb82,NCI-H3255,NCIH3255,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000110,PT-5JFPe5,NCC-StC-K140,NCCSTCK140,STAD,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD
ACH-000111,PT-yKJqsn,HCC1187,HCC1187,IDC,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000112,PT-SHvyVR,SIG-M5,SIGM5,AMOL,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,AMOL
ACH-000113,PT-OA9fna,OCI-AML2,OCIAML2,AML,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000114,PT-SNQPtX,SU.86.86,SU8686,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000115,PT-O15HlH,VCaP,VCAP,PRAD,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,PRAD
ACH-000116,PT-eqFmWE,OAW28,OAW28,HGSOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000117,PT-qkpbqp,EFM-192A,EFM192A,BRCA,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA
ACH-000118,PT-jYcdmK,HUP-T3,HUPT3,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000119,PT-iJz19R,Hs 863.T,HS863T,ZFIBBON,Fibroblast,Non-Cancerous,"Fibroblast, Bone",
ACH-000120,PT-6jhjWI,CHP-212,CHP212,NBL,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-000121,PT-5S5Gmg,NCI-H2405,NCIH2405,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000122,PT-v3CPfr,SUP-T11,SUPT11,ATLL,Lymphoid,Mature T and NK Neoplasms,Adult T-Cell Leukemia/Lymphoma,ATLL
ACH-000123,PT-hlFfQW,COV434,COV434,SCCO,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Small Cell Carcinoma of the Ovary,SCCO
ACH-000124,PT-xqygCF,OCI-LY-19,OCILY19,DLBCLNOS,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000125,PT-G9ksxs,TO 175.T,TO175T,ZFIBLYM,Fibroblast,Non-Cancerous,Fibroblast,
ACH-000126,PT-Y9w387,KG-1-C,KG1C,ODG,CNS/Brain,Diffuse Glioma,Oligodendroglioma,ODG
ACH-000127,PT-Mi0cKz,SLR 20,SLR20,BLCA,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000128,PT-mUWSlp,LN-319,LN319,ASTR,CNS/Brain,Diffuse Glioma,Astrocytoma,ASTR
ACH-000129,PT-jzLNtr,NCI-H1341,NCIH1341,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000130,PT-LNhzm2,NALM-19,NALM19,BLL,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,BLL
ACH-000131,PT-1aFiol,Hs 229.T,HS229T,ZFIBLUN,Fibroblast,Non-Cancerous,"Fibroblast, Lung",
ACH-000132,PT-F6NvL5,JHOS-2,JHOS2,HGSOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000133,PT-PvBEqK,Hs 729,HS729,ZFIB,Fibroblast,Non-Cancerous,Fibroblast,
ACH-000134,PT-tuLBod,Hs 274.T,HS274T,ZFIBBRE,Fibroblast,Non-Cancerous,"Fibroblast, Breast",
ACH-000135,PT-Shihsq,Hs 940.T,HS940T,ZFIBSKI,Fibroblast,Non-Cancerous,"Fibroblast, Skin",
ACH-000136,PT-3ZPjBh,CHP-126,CHP126,NBL,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-000137,PT-WFlL15,8-MG-BA,8MGBA,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000138,PT-1nbcaA,CFPAC-1,CFPAC1,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000139,PT-rXQo6a,Panc 03.27,PANC0327,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000140,PT-IBKRSU,Pfeiffer,PFEIFFER,DLBCLNOS,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000141,PT-iqSI4n,SNU-308,SNU308,GBAD,Biliary Tract,Intracholecystic Papillary Neoplasm,"Gallbladder Adenocarcinoma, NOS",GBAD
ACH-000142,PT-Er9zxL,CAL-29,CAL29,BLCA,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000143,PT-1M8cz3,HCC2429,HCC2429,NSCLC,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC
ACH-000144,PT-n15ylb,RERF-GC-1B,RERFGC1B,STAD,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD
ACH-000145,PT-LH2axx,SK-LMS-1,SKLMS1,LMS,Soft Tissue,Leiomyosarcoma,Leiomyosarcoma,LMS
ACH-000146,PT-Sv45MF,THP-1,THP1,AML,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000147,PT-9WkxWW,T-47D,T47D,IDC,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000148,PT-sW6DWH,Hs 578T,HS578T,BRCNOS,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",BRCNOS
ACH-000149,PT-ombRgU,SK-N-SH,SKNSH,NBL,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-000150,PT-H39843,HCC2935,HCC2935,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000151,PT-t7KWtB,JM1,JM1,BLL,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,BLL
ACH-000152,PT-DK2CQc,M059K,M059K,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000153,PT-TexA3V,NCI-H2052,NCIH2052,PLSMESO,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Sarcomatoid Type",PLSMESO
ACH-000154,PT-AJl2G5,Hs 888.T,HS888T,ZFIBBON,Fibroblast,Non-Cancerous,"Fibroblast, Bone",
ACH-000155,PT-qPqCUF,SW 1990,SW1990,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000156,PT-yxisxt,MHH-CALL-4,MHHCALL4,BLL,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,BLL
ACH-000157,PT-jcPkpq,A4/Fuk,A4FUK,DLBCLNOS,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000158,PT-mgmL7l,OCI-LY3,OCILY3,ABC,Lymphoid,Mature B-Cell Neoplasms,Activated B-cell Type,ABC
ACH-000159,PT-T2g8EU,OS-RC-2,OSRC2,CCRCC,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000160,PT-0GrZ0k,BT-12,BT12,ATRT,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,ATRT
ACH-000161,PT-G4xjbZ,COR-L105,CORL105,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000162,PT-MGPf78,GA-10,GA10,BL,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,BL
ACH-000163,PT-llVV5F,SW579,SW579,HNSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,HNSC
ACH-000164,PT-cHU83i,PANC-1,PANC1,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000165,PT-EyHts5,Hs 751.T,HS751T,ZFIBLYM,Fibroblast,Non-Cancerous,Fibroblast,
ACH-000166,PT-BnqVL0,Kasumi-6,KASUMI6,AML,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000167,PT-ghtKEp,KE-97,KE97,PCM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000168,PT-FTVcJW,NOMO-1,NOMO1,AMOL,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,AMOL
ACH-000169,PT-TG4t9c,RD,RD,ERMS,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,ERMS
ACH-000170,PT-fkfBUv,PrEC LH,PRECLH,ZIMMEPCP,Prostate,Non-Cancerous,"Immortalized Epithelial Cells, Prostate",
ACH-000171,PT-pJpjja,VMRC-RCZ,VMRCRCZ,RCC,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC
ACH-000172,PT-o2d0Va,TM-87,TM87,ERT,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,
ACH-000173,PT-FarRYD,JHUEM-3,JHUEM3,UCEC,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,UCEC
ACH-000174,PT-dTkV2T,CAL-62,CAL62,THAP,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,THAP
ACH-000175,PT-8hjp6w,TE159T,TE159T,ZFIBSOF,Fibroblast,Non-Cancerous,"Fibroblast, Soft Tissue",
ACH-000176,PT-wKL1PE,LOU-NH91,LOUNH91,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000177,PT-Noh10Y,NCI-H660,NCIH660,PRSCC,Prostate,Prostate Small Cell Carcinoma,Prostate Small Cell Carcinoma,PRSCC
ACH-000178,PT-3ZZnoD,Hs 766T,HS766T,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000179,PT-zC9YC8,NCI-H1618,NCIH1618,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000180,PT-aCAmcw,Hs 839.T,HS839T,ZFIBSKI,Fibroblast,Non-Cancerous,"Fibroblast, Skin",
ACH-000181,PT-UbMDmb,SCC-9,SCC9,OCSC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000182,PT-n4Jzz1,SNU-869,SNU869,AMPCA,Ampulla of Vater,Ampullary Carcinoma,Ampullary Carcinoma,AMPCA
ACH-000183,PT-T1yBnE,L-363,L363,PCM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000184,PT-QtFjoY,Hs  343.T,HS343T,ZFIBBRE,Fibroblast,Non-Cancerous,"Fibroblast, Breast",
ACH-000185,PT-TanjHu,Hs 737.T,HS737T,ZFIBBON,Fibroblast,Non-Cancerous,"Fibroblast, Bone",
ACH-000186,PT-w40Tnr,NCI-H2444,NCIH2444,NSCLC,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC
